Table 1
2019 Pontevedra ITU Duathlon World Championships,,,,,,,,,,,,,
Sprint age groups - Unofficial results by category,,,,,,,,,,,,,
,,,,,,,,,,,,,
16-19 Female AG,,,,,,,,,,,,,
Cat.R.,Bib,Name,Szül.év,Club,License,Country,Város,1st Run,1st Transition,Bike,2nd Transition,2nd Run,Finish Time
21,1186,Mark Jarvis,,,,GBR,,18:15,1:00,31:53,1:46,10:11,1:03:02
22,1195,Emmanuel Montes De Oca Gutierrez,,,,MEX,,17:37,0:47,33:32,1:27,9:42,1:03:03
23,1190,Garry Walker,,,,GBR,,18:16,0:52,31:54,1:37,10:33,1:03:11
24,1178,Sergio Serna Sanchez,,,,ESP,,17:40,1:05,33:54,1:33,9:36,1:03:46
25,1168,Alberto Carlos Asensio Campazas,,,,ESP,,18:40,0:44,33:31,1:19,9:39,1:03:51
26,1196,David Gerardo Sandoval Rojas ,,,,MEX,,18:36,0:50,33:30,1:27,10:01,1:04:22
27,1181,Robert Cassidy,,,,GBR,,19:07,0:48,33:04,1:27,10:46,1:05:10
28,1180,Jason Carvalho,,,,GBR,,19:49,0:57,33:24,1:36,10:20,1:06:03
29,1214,Benoit Savoie,,,,CAN,,18:11,1:01,35:01,1:33,10:20,1:06:05
30,1202,David Edward Garcia,,,,USA,,18:00,0:53,35:27,1:45,10:06,1:06:09
31,1182,Ian Collings,,,,GBR,,19:48,0:54,33:35,1:33,10:22,1:06:10
32,1200,Craig Allen,,,,USA,,19:58,0:58,33:16,1:35,11:19,1:07:03
33,1203,Kevin Hanover,,,,USA,,20:01,1:10,34:37,1:52,11:21,1:08:59
34,1173,Francisco Javier Iglesias Prado,,,,ESP,,20:50,0:54,35:47,1:41,11:59,1:11:09
35,1204,Rocky Harris,,,,USA,,19:44,1:20,38:46,1:44,10:42,1:12:13
36,1193,Shintaro Ogura,,,,JPN,,20:14,1:09,38:29,1:51,11:12,1:12:53
37,1205,Jason Luchtefeld,,,,USA,,21:33,0:49,37:02,1:29,12:04,1:12:56
38,1201,Anthony Galloway,,,,USA,,20:43,1:11,39:08,1:36,11:17,1:13:54
39,1213,Anthony Landry,,,,CAN,,20:52,1:15,38:39,1:43,11:31,1:13:59
40,1207,Flavio Carvalho,,,,BRA,,20:53,1:11,38:42,2:21,11:26,1:14:32
41,1211,Dimas Salvia,,,,BRA,,22:42,1:09,37:56,2:11,12:27,1:16:24
42,1176,Antonio Angel Rios Gonzalez,,,,ESP,,21:24,1:05,41:54,2:25,11:46,1:18:31
43,1212,Fábio Stefano Batista Sobral,,,,BRA,,22:23,1:35,43:01,2:20,12:48,1:22:05
44,1184,Martin Fenton,,,,GBR,,19:04,0:52,1:11:21,3:05,10:33,1:44:53
,,,,,,,,,,,,,
45-49 Female AG,,,,,,,,,,,,,
Cat.R.,Bib,Name,Szül.év,Club,License,Country,Város,1st Run,1st Transition,Bike,2nd Transition,2nd Run,Finish Time
1,1618,Aida Garcia Lopez,,,,ESP,,19:11,0:49,34:15,1:30,10:40,1:06:23
2,1625,Gwen Kinsey,,,,GBR,,19:08,0:51,35:29,1:24,10:36,1:07:26
3,1617,Maria Fernandez Lores,,,,ESP,,19:51,1:04,36:19,1:38,10:55,1:09:45
4,1624,Claire Hall,,,,GBR,,19:21,0:51,38:04,1:23,10:41,1:10:18
5,1620,Ángela Martínez Payá,,,,ESP,,19:39,0:55,37:54,1:30,10:38,1:10:35
6,1622,Severine Guerif,,,,FRA,,19:21,1:01,38:05,1:33,10:59,1:10:58
7,1630,Victoria Wordsworth,,,,GBR,,21:20,1:07,36:10,1:31,11:41,1:11:47
8,1631,Alma Delia  Alvarez Mancera ,,,,MEX,,19:10,0:55,38:59,2:02,11:15,1:12:19
9,1627,Lindsey Lewis-Painter,,,,GBR,,21:25,0:56,38:25,1:23,11:32,1:13:38
10,1636,Astrid Collins,,,,USA,,21:44,1:01,38:04,1:36,11:30,1:13:52
11,1628,Claire Lowe,,,,GBR,,21:58,1:02,37:46,1:36,11:47,1:14:08
12,1633,Maria Del Carmen  Lopez Martin,,,,MEX,,21:33,1:17,38:02,1:53,12:03,1:14:46
13,1649,Adeluci Moraes,,,,BRA,,21:16,1:31,38:11,2:15,12:18,1:15:29
14,1652,Barbara Petryshen-Kozak,,,,CAN,,23:01,1:14,37:42,1:42,12:46,1:16:24
15,1632,Claudia Amador Salas,,,,MEX,,22:02,1:00,41:10,1:33,12:31,1:18:14
16,1644,Renata Silveira,,,,USA,,22:34,1:20,40:11,2:05,12:22,1:18:30
17,1646,Nataliya Springfield,,,,USA,,22:01,1:22,40:41,2:12,12:19,1:18:34
18,1638,Jen Easterday,,,,USA,,23:47,1:17,38:56,2:20,13:04,1:19:23
19,1645,Danielle Springer,,,,USA,,24:09,1:30,39:17,2:01,12:55,1:19:50
20,1653,Natalie Wright,,,,CAN,,23:52,1:09,39:54,1:59,13:22,1:20:14
21,1635,Nadia Chisler,,,,USA,,22:38,1:11,43:23,1:51,12:28,1:21:29
22,1651,Soo Owens,,,,CAN,,23:35,1:36,42:53,2:13,12:48,1:23:03
23,1626,Tracey Lancaster,,,,GBR,,23:44,1:16,43:58,1:51,13:25,1:24:12
24,1619,Mónica Gómez Martínez,,,,ESP,,24:40,1:38,44:28,2:13,13:14,1:26:12
25,1641,Beth Hunter,,,,USA,,26:18,1:21,45:55,2:17,14:48,1:30:37
26,1616,Marcela Mariana Alvarez Garcia,,,,ESP,,26:41,1:20,46:18,2:05,15:12,1:31:34
27,1648,Kate Baxter,,,,AUS,,28:21,1:29,50:49,2:51,15:46,1:39:14
28,1642,Melinda Hyatt,,,,USA,,26:20,1:33,57:38,2:31,14:36,1:42:37
29,1640,Erika Griffith,,,,USA,,31:00,1:47,51:57,3:12,17:27,1:45:22
30,1634,Kimee Armour,,,,USA,,33:05,1:39,48:56,3:05,20:56,1:47:40
31,1637,Mary Craig,,,,USA,,34:31,1:20,55:41,2:35,19:49,1:53:55
,,,,,,,,,,,,,
45-49 Male AG,,,,,,,,,,,,,
Cat.R.,Bib,Name,Szül.év,Club,License,Country,Város,1st Run,1st Transition,Bike,2nd Transition,2nd Run,Finish Time
1,1240,Rodger Wilkins,,,,GBR,,17:00,0:43,31:41,1:18,9:04,59:43
2,1247,Mario Salazar Valdez,,,,MEX,,16:57,0:45,32:08,1:10,8:45,59:43
3,1248,Brendan Erskine,,,,NZL,,17:38,0:48,30:58,1:17,9:27,1:00:06
4,1234,Nick Shasha,,,,GBR,,16:58,0:43,32:09,1:20,9:14,1:00:22
5,1226,David Vargas Ansia,,,,ESP,,17:21,0:47,31:45,1:20,9:12,1:00:22
6,1239,Robert White,,,,GBR,,16:59,0:45,32:12,1:19,9:38,1:00:51
7,1265,Søren  Kirketofte,,,,DEN,,17:38,0:45,31:26,1:20,9:54,1:01:01
8,1222,Gonzalo Gonzalez Piñeiro,,,,ESP,,16:59,0:55,33:12,1:27,9:25,1:01:56
9,1228,Simon Clarke,,,,GBR,,17:57,0:53,32:22,1:23,9:31,1:02:04
10,1260,Travis Tindle,,,,USA,,18:17,0:48,32:03,1:14,10:01,1:02:21
11,1231,Christian Harle,,,,GBR,,18:29,0:54,33:22,1:23,9:42,1:03:47
12,1230,Christopher Finister,,,,GBR,,17:35,0:50,34:24,1:29,9:36,1:03:51
13,1219,Fernando Antonio Bouzon Otero,,,,ESP,,18:03,0:52,33:43,1:23,9:55,1:03:53
14,1220,Oscar Jesús Fernández Vega,,,,ESP,,17:22,0:51,34:29,1:42,9:47,1:04:08
15,1224,Jose Luis Lencina Nava,,,,ESP,,17:49,1:10,33:58,1:38,9:55,1:04:27
16,1238,Neil Turner,,,,GBR,,18:27,0:50,33:31,1:30,10:12,1:04:29
17,1261,Silvio Fernando  Floriano Ferreira,,,,BRA,,17:39,0:53,34:25,1:42,10:05,1:04:42
18,1245,Mario Alberto Moreno Maldonado,,,,MEX,,18:02,0:50,34:30,1:22,10:10,1:04:52
19,1241,Brian Wills,,,,GBR,,18:58,0:54,33:20,1:28,10:43,1:05:20
20,1227,Brendan Anglim,,,,GBR,,18:58,0:45,33:38,1:25,10:46,1:05:30
21,1264,Jeff Seaby,,,,CAN,,18:29,0:51,34:03,1:48,10:32,1:05:41
22,1235,Ross Taylor,,,,GBR,,18:33,0:53,35:04,1:31,10:18,1:06:18
23,1223,Tomás Ibañez Mayo,,,,ESP,,18:38,1:09,35:12,1:38,10:04,1:06:39
24,1237,Jonathan Tuck,,,,GBR,,19:11,0:58,34:44,1:38,10:31,1:07:01
25,1255,John Kelsch,,,,USA,,19:45,1:07,34:02,1:37,10:49,1:07:19
26,1262,Everson Serra,,,,BRA,,19:34,1:21,34:03,1:41,11:13,1:07:50
27,1258,John Sillery,,,,USA,,17:16,0:42,39:12,1:21,9:21,1:07:50
28,1249,Vasco Mira,,,,POR,,19:49,1:05,34:06,1:48,11:08,1:07:55
29,1242,Shane Wolstencroft,,,,GBR,,19:44,0:47,35:11,1:33,10:51,1:08:05
30,1225,Faustino Meis Veiga,,,,ESP,,19:16,0:49,37:46,1:36,10:49,1:10:15
31,1244,Rudyard Cortez Gomez ,,,,MEX,,20:29,0:58,35:26,1:48,11:38,1:10:17
32,1246,Ricardo Sala Nuñez,,,,MEX,,20:02,1:11,35:42,2:02,11:47,1:10:43
33,1254,Todd Hamilton,,,,USA,,21:32,0:59,35:33,1:39,11:32,1:11:14
34,1259,Greg Snell,,,,USA,,21:49,1:15,35:35,1:52,12:03,1:12:32
35,1252,Marcelo Da Silva,,,,USA,,21:54,1:16,37:23,2:30,13:27,1:16:26
36,1250,Mark Allen,,,,USA,,23:18,1:54,41:45,2:20,13:00,1:22:15
37,1256,Allen Mcnair,,,,USA,,24:13,1:27,42:15,2:10,14:16,1:24:20
38,1257,Devon Mitchell,,,,USA,,25:30,2:55,45:38,4:07,14:12,1:32:21
39,1221,Juan Carlos Gonzalez Ibañez,,,,ESP,,27:03,1:50,50:17,2:22,14:09,1:35:39
40,1253,David Ferrett,,,,USA,,23:36,1:02,1:06:24,1:51,12:02,1:44:53
,,,,,,,,,,,,,
50-54 Female AG,,,,,,,,,,,,,
Cat.R.,Bib,Name,Szül.év,Club,License,Country,Város,1st Run,1st Transition,Bike,2nd Transition,2nd Run,Finish Time
1,1672,Cynthia Abrami,,,,USA,,19:31,1:12,37:40,1:34,10:29,1:10:25
2,1663,Cathy Dawson,,,,GBR,,19:51,0:55,37:40,1:33,10:45,1:10:41
3,1668,Claire Pluckrose,,,,GBR,,20:38,1:15,36:46,1:39,10:54,1:11:11
4,1671,Anke Lakies,,,,GER,,22:18,0:52,37:35,1:27,11:41,1:13:50
5,1666,Sharron Manders,,,,GBR,,21:26,1:18,38:10,1:38,11:21,1:13:51
6,1660,Anne Gautier Maurel,,,,FRA,,21:06,0:59,38:36,1:40,11:37,1:13:57
7,1677,Elizabeth Sinclair,,,,AUS,,21:55,1:03,38:05,1:37,11:23,1:14:01
8,1665,Sally Frapwell,,,,GBR,,22:50,1:21,37:50,1:58,13:11,1:17:08
9,1661,Jane Beech,,,,GBR,,21:44,0:58,41:06,1:39,12:09,1:17:34
10,1679,Karri Beck,,,,CAN,,21:48,1:48,40:29,1:52,12:23,1:18:19
11,1664,Alison Fox,,,,GBR,,22:47,1:36,39:55,2:03,12:41,1:19:00
12,1659,Maria Carmen Villaescusa Soriano,,,,ESP,,22:22,1:11,41:42,1:52,12:29,1:19:35
13,1669,Amanda  Singleton,,,,GBR,,23:49,1:30,40:15,1:55,13:08,1:20:36
14,1678,Nathalie Archambault,,,,CAN,,24:18,1:26,39:14,1:59,14:09,1:21:04
15,1667,Janine Pickard,,,,GBR,,23:27,1:39,43:14,2:10,12:45,1:23:12
16,1662,Jane Bowles,,,,GBR,,24:40,1:25,42:43,2:02,13:37,1:24:26
17,1673,Michelle Bronkhorst,,,,USA,,23:07,1:24,45:56,1:43,12:18,1:24:26
18,1670,Britta Henseler,,,,GER,,26:01,1:50,42:04,2:08,14:41,1:26:42
19,1680,Diane Bomans,,,,CAN,,25:35,1:38,42:58,2:26,14:18,1:26:51
20,1674,Leslie Randall,,,,USA,,25:21,1:24,44:00,2:24,13:53,1:27:00
21,1681,Barb Hilts-Most,,,,CAN,,26:49,1:27,46:57,1:55,14:29,1:31:36
22,1675,Melissa Whitman,,,,USA,,24:39,1:17,50:56,1:51,13:34,1:32:15
23,1676,Bronwyn Scott,,,,AUS,,30:46,2:07,51:39,2:53,16:20,1:43:43
,,,,,,,,,,,,,
50-54 Male AG,,,,,,,,,,,,,
Cat.R.,Bib,Name,Szül.év,Club,License,Country,Város,1st Run,1st Transition,Bike,2nd Transition,2nd Run,Finish Time
1,1311,Joaquim Lopes,,,,POR,,16:58,0:46,32:05,1:16,9:08,1:00:12
2,1280,David Serra Termens,,,,ESP,,16:59,0:43,32:11,1:18,9:24,1:00:33
3,1285,Craig Dyce,,,,GBR,,17:36,0:39,31:36,1:11,9:36,1:00:37
4,1331,Christian Siedlitzki,,,,AUT,,17:30,0:54,32:40,1:22,9:30,1:01:55
5,1328,Paul Wakefield,,,,USA,,18:01,0:55,32:12,1:16,9:41,1:02:02
6,1277,Tomas Perez Cervantes,,,,ESP,,18:00,0:43,32:23,1:13,10:00,1:02:17
7,1312,José Peixoto,,,,POR,,18:01,1:07,32:07,1:34,10:01,1:02:48
8,1297,Paul Williamson,,,,GBR,,17:36,0:49,34:27,1:21,9:44,1:03:54
9,1270,Rafael Baeza Cabezuelo,,,,ESP,,18:16,0:57,33:28,1:22,10:12,1:04:13
10,1272,Jose Manuel Fort Martinez,,,,ESP,,18:36,0:48,33:13,1:21,10:22,1:04:18
11,1336,Dennis Colburn,,,,CAN,,17:47,0:55,34:08,1:24,10:10,1:04:21
12,1299,Mark York,,,,GBR,,19:20,0:55,32:57,1:27,10:05,1:04:42
13,1313,Marcus Alexander,,,,USA,,19:18,0:50,33:05,1:20,10:13,1:04:43
14,1287,Will Harding,,,,GBR,,18:50,0:57,33:30,1:26,10:08,1:04:50
15,1289,Marius Kwint,,,,GBR,,18:36,0:51,33:49,1:28,10:14,1:04:54
16,1296,Ben Strutt,,,,GBR,,19:25,0:54,32:59,1:32,10:13,1:05:02
17,1273,Pedro Lopez Zuazua,,,,ESP,,19:19,0:54,33:05,1:33,10:38,1:05:27
18,1318,Michael Collins,,,,USA,,19:33,0:47,32:44,1:21,11:08,1:05:32
19,1322,Stuart Hindle,,,,USA,,19:10,1:04,33:00,1:38,10:42,1:05:32
20,1283,Richard Davis,,,,GBR,,19:36,1:00,33:58,1:29,10:30,1:06:30
21,1300,Gianni Bruzzi,,,,ITA,,18:30,0:59,35:34,1:44,9:58,1:06:43
22,1324,Ronald Reynolds,,,,USA,,19:34,0:58,34:26,1:24,10:30,1:06:50
23,1303,Daniel Cruz Arrieta ,,,,MEX,,19:27,1:10,34:20,1:33,11:01,1:07:28
24,1310,Tomasz  Chmielewski,,,,POL,,19:20,0:51,34:45,1:42,10:53,1:07:29
25,1279,Francisco Javier Sanchez Dominguez,,,,ESP,,19:01,1:20,35:19,1:53,10:06,1:07:37
26,1291,Simon Lewis,,,,GBR,,20:07,0:57,33:46,1:41,11:19,1:07:48
27,1275,Juan Mendez Lopez,,,,ESP,,19:17,0:50,35:30,1:33,10:55,1:08:03
28,1295,Sean Stewart,,,,GBR,,20:31,0:45,35:00,1:27,10:30,1:08:11
29,1307,Arturo Javier Rico Hernandez ,,,,MEX,,19:58,1:02,35:23,1:39,11:03,1:09:03
30,1333,Jan De Visser,,,,CAN,,20:18,0:52,35:13,1:34,11:11,1:09:05
31,1284,Alan Doney,,,,GBR,,19:49,1:12,35:33,1:51,10:54,1:09:17
32,1335,Luís Pires,,,,POR,,20:06,1:13,35:34,1:43,10:53,1:09:26
33,1327,Jack Smith,,,,USA,,20:47,0:58,35:01,1:43,11:13,1:09:40
34,1316,James Bourdages,,,,USA,,20:21,1:16,34:38,1:53,11:40,1:09:46
35,1326,Colm Smart,,,,USA,,20:51,1:11,36:06,1:46,10:57,1:10:49
36,1305,Luis Gonzalez Parada ,,,,MEX,,21:09,0:52,35:52,1:37,11:25,1:10:52
37,1282,Andy Biggs,,,,GBR,,21:03,0:55,36:12,1:36,11:22,1:11:06
38,1329,Joel Hillier,,,,AUS,,20:13,1:12,36:23,1:51,11:33,1:11:11
39,1293,Paul Mammatt,,,,GBR,,21:01,0:54,35:55,1:50,12:05,1:11:42
40,1286,Michael Gill,,,,GBR,,21:22,1:07,36:17,1:42,11:46,1:12:12
41,1332,Rubens Fortunato,,,,BRA,,20:55,1:10,36:16,2:16,11:51,1:12:27
42,1298,Peter Wordsworth,,,,GBR,,21:37,0:59,36:13,1:47,11:54,1:12:28
43,1292,Stephen Macdonald,,,,GBR,,21:56,0:59,36:53,2:07,12:06,1:13:58
44,1319,Jim Ettenger,,,,USA,,21:34,1:00,37:45,2:03,12:20,1:14:39
45,1304,Gerardo Franco Parrillat ,,,,MEX,,20:00,1:02,41:03,1:50,10:52,1:14:45
46,1320,John Fox,,,,USA,,22:00,1:04,37:43,1:49,12:19,1:14:54
47,1306,Victor Xicotencatl Perez Cortes Cordero,,,,MEX,,21:36,1:13,39:07,2:03,11:15,1:15:13
48,1290,Bryan Lawton,,,,GBR,,21:43,1:10,39:12,1:51,11:39,1:15:33
49,1271,Julio Blanco Salazar,,,,ESP,,21:04,1:05,40:05,2:05,11:58,1:16:15
50,1308,Jorge Luis  Romero Bejarano ,,,,MEX,,22:31,1:02,38:18,2:02,13:00,1:16:51
51,1294,Duncan Smart,,,,GBR,,21:52,1:30,40:32,2:15,11:58,1:18:05
52,1276,Juan Manuel Payo Hidalgo,,,,ESP,,22:05,1:11,41:18,1:55,12:44,1:19:11
53,1330,David Schefe,,,,AUS,,23:05,1:08,40:29,2:01,13:08,1:19:49
54,1317,Robert Clarence,,,,USA,,24:53,1:27,40:09,2:29,13:10,1:22:05
55,1325,John Egan Searing,,,,USA,,23:43,1:47,46:19,2:37,12:42,1:27:06
,,,,,,,,,,,,,
55-59 Female AG,,,,,,,,,,,,,
Cat.R.,Bib,Name,Szül.év,Club,License,Country,Város,1st Run,1st Transition,Bike,2nd Transition,2nd Run,Finish Time
1,1692,Amanda Young,,,,GBR,,21:25,1:04,38:24,1:37,11:29,1:13:58
2,1688,Sarah Gill,,,,GBR,,21:36,1:10,38:06,1:49,11:37,1:14:15
3,1686,Ann Cook,,,,GBR,,21:37,1:16,40:12,1:41,12:06,1:16:50
4,1693,Elizabeth OConnor,,,,IRL,,22:15,1:06,39:01,1:44,12:56,1:17:00
5,1699,Sally Corrigan,,,,USA,,23:03,1:06,40:02,2:01,13:11,1:19:20
6,1689,Claire Jackson,,,,GBR,,24:00,1:12,39:47,1:51,12:52,1:19:41
7,1690,Mandy Mcgonigle,,,,GBR,,23:22,1:16,40:37,1:46,13:31,1:20:29
8,1691,Maureen Wilkins,,,,GBR,,22:46,1:15,41:36,2:23,13:00,1:20:58
9,1703,Noella Buchanan,,,,AUS,,23:56,1:25,41:10,1:45,13:59,1:22:14
10,1696,Christine Fraser Kitchen,,,,NZL,,23:19,1:30,43:28,2:04,12:56,1:23:16
11,1700,Wendy Endsley,,,,USA,,24:03,2:15,42:00,2:04,13:37,1:23:57
12,1704,Dawn Courage,,,,AUS,,23:39,1:37,43:05,1:59,13:46,1:24:04
13,1702,Mari Steinbach,,,,USA,,25:47,1:07,41:58,2:01,13:26,1:24:17
14,1701,Amy Morin,,,,USA,,24:36,1:37,43:10,2:04,13:30,1:24:55
15,1698,Stephanie Barbero,,,,USA,,24:21,1:12,43:47,2:06,13:44,1:25:09
16,1695,Amanda Edge,,,,NZL,,25:31,1:06,47:42,1:38,13:43,1:29:38
17,1694,Maria De La Luz Montiel Flora ,,,,MEX,,25:32,1:28,48:18,2:18,14:31,1:32:04
18,1685,Laura Lopez Blanco,,,,ESP,,24:59,1:39,52:13,2:08,13:44,1:34:40
19,1706,Leone Joice,,,,AUS,,32:48,2:03,52:18,2:51,17:54,1:47:51
20,1697,Ruth Albright,,,,USA,,33:15,2:35,59:50,3:01,18:03,1:56:42
21,1705,Kim Edwards,,,,AUS,,36:40,2:17,1:09:54,2:51,20:18,2:11:58
,,,,,,,,,,,,,
55-59 Male AG,,,,,,,,,,,,,
Cat.R.,Bib,Name,Szül.év,Club,License,Country,Város,1st Run,1st Transition,Bike,2nd Transition,2nd Run,Finish Time
1,1345,Wayne Aylesbury,,,,GBR,,18:14,0:44,32:10,1:22,9:37,1:02:05
2,1362,Aeneas Appius,,,,SUI,,18:14,0:49,32:07,1:20,10:04,1:02:32
3,1367,Mark Hecox,,,,USA,,18:15,0:48,32:05,1:34,9:57,1:02:38
4,1378,Michael Pratt,,,,AUS,,18:49,0:46,33:14,1:28,10:13,1:04:29
5,1373,Graham Walsh,,,,USA,,18:15,0:47,33:43,1:32,10:14,1:04:30
6,1356,David Wilkinson,,,,GBR,,18:45,0:47,33:48,1:14,10:26,1:04:59
7,1372,Jeremy Oury,,,,USA,,19:51,0:56,34:03,1:26,10:53,1:07:06
8,1368,Mike Long,,,,USA,,20:21,0:57,33:33,1:24,11:11,1:07:24
9,1350,Adam Prentis,,,,GBR,,20:01,1:06,35:19,1:33,10:19,1:08:16
10,1352,Mark Taplin,,,,GBR,,19:10,1:17,35:44,1:48,10:23,1:08:21
11,1371,Norberto Olivera,,,,USA,,20:00,1:03,34:36,1:49,11:08,1:08:34
12,1375,Alex Finlay,,,,AUS,,20:13,1:06,35:06,1:35,10:51,1:08:50
13,1348,Gerry Hyde,,,,GBR,,20:37,0:58,34:41,1:33,11:06,1:08:52
14,1381,Tim Doris,,,,CAN,,20:11,1:06,35:07,1:39,10:51,1:08:53
15,1374,Bill Whitman,,,,USA,,20:12,0:58,35:10,1:32,11:26,1:09:15
16,1343,Santi Ribot Terricabras,,,,ESP,,20:03,1:11,34:58,1:43,11:28,1:09:21
17,1346,Andrew Burnett,,,,GBR,,20:26,1:08,34:44,1:49,11:27,1:09:33
18,1347,Ian Gilham,,,,GBR,,20:48,0:51,36:15,1:32,10:37,1:10:01
19,1366,Todd Gerrish,,,,USA,,21:15,1:01,35:41,1:35,10:48,1:10:18
20,1380,Manoel Alberto Lopes Dias,,,,BRA,,21:22,0:54,35:33,1:36,11:11,1:10:33
21,1351,Matt Rylatt,,,,GBR,,20:54,1:00,35:56,1:39,11:14,1:10:41
22,1364,Richard Cottrell,,,,USA,,20:53,1:37,35:24,2:06,11:49,1:11:46
23,1354,Ian Vatter,,,,GBR,,21:44,1:17,36:27,1:41,11:28,1:12:35
24,1382,Dave Farrow,,,,CAN,,21:34,1:16,35:57,2:06,12:04,1:12:56
25,1361,Juan Antonio Soberanes Lara,,,,MEX,,21:06,1:08,36:31,2:21,12:28,1:13:32
26,1379,Adrian Wenban,,,,AUS,,20:34,1:04,38:55,1:48,11:28,1:13:47
27,1384,Paul Weston,,,,CAN,,21:55,1:22,37:12,1:48,12:12,1:14:26
28,1355,Richard Wallace,,,,GBR,,20:01,1:14,40:47,1:45,10:46,1:14:31
29,1353,Christian Ulf-Hansen,,,,GBR,,21:33,1:07,38:42,1:38,12:01,1:14:59
30,1370,Michael Minyon,,,,USA,,21:41,1:36,38:02,2:26,12:07,1:15:51
31,1349,Andrew Johnson,,,,GBR,,21:03,1:05,39:50,1:48,12:10,1:15:54
32,1342,Antoni Linares Torres,,,,ESP,,21:42,1:14,38:22,1:59,12:51,1:16:06
33,1359,Jorge Eduardo Bonilla Garmendia ,,,,MEX,,22:47,1:08,38:01,1:38,12:53,1:16:25
34,1357,Franky Wright,,,,IRL,,21:42,1:00,41:47,1:43,11:56,1:18:06
35,1369,Edward Marx,,,,USA,,23:53,1:18,40:42,1:59,12:38,1:20:29
36,1365,Kevin Elmore,,,,USA,,24:02,1:17,40:05,2:15,13:04,1:20:41
37,1376,Mark Krause,,,,AUS,,23:32,1:09,42:28,1:52,12:46,1:21:43
38,1383,David Van Klaveren,,,,CAN,,24:23,1:52,45:11,2:24,12:57,1:26:46
39,1344,Vicente Uceda Blazquez,,,,ESP,,26:59,1:40,47:48,2:38,15:47,1:34:51
,,,,,,,,,,,,,
60-64 Female AG,,,,,,,,,,,,,
Cat.R.,Bib,Name,Szül.év,Club,License,Country,Város,1st Run,1st Transition,Bike,2nd Transition,2nd Run,Finish Time
1,1723,Jennifer Dowie,,,,AUS,,21:17,1:01,38:33,1:35,11:59,1:14:23
2,1709,Sue Clarke,,,,GBR,,22:18,1:17,40:32,2:02,12:34,1:18:41
3,1718,Kathy Edris,,,,USA,,23:00,1:02,41:40,1:42,12:22,1:19:43
4,1716,Lorrie Beck,,,,USA,,23:48,1:18,42:34,1:48,13:34,1:23:01
5,1710,Heather Lambert,,,,GBR,,21:41,1:18,49:04,1:58,12:03,1:26:03
6,1713,Sally Waterman,,,,GBR,,26:07,1:17,43:08,2:09,14:18,1:26:56
7,1719,Patricia Lane,,,,USA,,26:32,1:35,44:08,2:46,15:22,1:30:21
8,1717,Patricia Driscoll,,,,USA,,26:38,1:14,46:20,1:49,15:07,1:31:06
9,1720,Alveratta Petta,,,,USA,,28:00,1:41,44:41,2:45,15:19,1:32:23
10,1712,Marion Spencer,,,,GBR,,26:07,1:31,49:07,1:54,14:29,1:33:06
11,1715,Blanca Leticia  Valdes Coss,,,,MEX,,28:02,1:17,47:08,2:21,15:22,1:34:08
12,1724,Karen Harasen,,,,CAN,,28:07,1:54,48:02,2:12,15:20,1:35:33
13,1711,Stella Lever,,,,GBR,,29:20,1:28,47:52,2:12,15:15,1:36:05
14,1722,Deborah Wheeler,,,,USA,,29:45,1:49,52:51,2:24,17:04,1:43:50
15,1721,Kathryn Scourby,,,,USA,,30:24,1:34,54:49,2:28,17:04,1:46:18
,,,,,,,,,,,,,
60-64 Male AG,,,,,,,,,,,,,
Cat.R.,Bib,Name,Szül.év,Club,License,Country,Város,1st Run,1st Transition,Bike,2nd Transition,2nd Run,Finish Time
1,1410,Keiji Matsuba,,,,JPN,,20:33,0:52,34:12,1:34,10:32,1:07:41
2,1402,Phil Hurr,,,,GBR,,20:09,0:48,34:38,1:31,10:39,1:07:44
3,1423,Neale Pugh,,,,AUS,,19:58,1:10,34:25,1:35,11:02,1:08:07
4,1403,Simon Jones,,,,GBR,,20:09,0:50,35:58,1:40,10:57,1:09:31
5,1405,Chris Smith,,,,GBR,,20:24,0:56,35:37,1:33,11:09,1:09:38
6,1391,Enrique Puente Menéndez,,,,ESP,,20:23,0:50,36:13,1:39,10:58,1:10:01
7,1408,Luca Emiliano Casiraghi,,,,ITA,,19:57,1:03,36:28,1:54,10:55,1:10:15
8,1417,Dave Furey,,,,USA,,20:11,1:00,36:22,1:49,10:59,1:10:18
9,1412,José Varela,,,,POR,,20:41,0:58,35:57,1:39,11:13,1:10:27
10,1389,Bernardo Jareño Rodríguez,,,,ESP,,20:24,1:07,36:23,1:54,11:10,1:10:55
11,1401,Chris Forde,,,,GBR,,20:34,1:25,36:19,1:56,11:12,1:11:24
12,1424,Richard Butlin,,,,CAN,,20:45,1:12,36:51,1:49,11:19,1:11:54
13,1397,Geoff Brewster,,,,GBR,,20:44,1:22,36:50,1:47,11:21,1:12:03
14,1420,John Nicholson,,,,USA,,20:38,1:18,36:55,1:41,11:36,1:12:06
15,1418,Jeffrey Gilmer,,,,USA,,21:57,0:58,35:48,1:41,12:30,1:12:52
16,1422,Allan Bieber,,,,AUS,,21:51,1:00,34:43,1:48,13:40,1:13:00
17,1390,Faustino Ginés Menéndez López,,,,ESP,,21:09,0:51,39:30,1:36,11:43,1:14:48
18,1392,Jose Manuel Rodriguez Carames,,,,ESP,,21:56,0:51,38:41,1:34,12:09,1:15:09
19,1396,Andrew Billington,,,,GBR,,21:07,1:09,39:16,1:45,12:01,1:15:15
